Query,Target,Standard_HR,Favorites_HR,Diff
software testing,software testing,100.0,90.0,-10.0
concurrent prolog,parallel computing,70.0,50.0,-20.0
security solutions hyperconnectivity internet,internet of things security,80.0,70.0,-10.0
istqb foundation level,software testing,40.0,20.0,-20.0
la nuit,modern history,20.0,10.0,-10.0
create your own,web development,30.0,0.0,-30.0
website development,web development,60.0,40.0,-20.0
introductory methods,numerical analysis,20.0,0.0,-20.0
understanding international,international relations,100.0,90.0,-10.0
strategic management business,business management,50.0,40.0,-10.0
computer crime,computer forensics,80.0,50.0,-30.0
intelligent human computer,human computer interaction,100.0,90.0,-10.0
computer science c class,c++ programming,20.0,0.0,-20.0
flask framework cookbook,web development,20.0,10.0,-10.0
parallel processing,parallel computing,100.0,90.0,-10.0
